data,amostras,amostras_novas,amostras_pcr,amostras_pcr_novas,amostras_antigenio,amostras_antigenio_novas
26-02-2020,,,,,,
27-02-2020,,,,,,
28-02-2020,,,,,,
29-02-2020,,,,,,
01-03-2020,25.0,25.0,25.0,25.0,0.0,0.0
02-03-2020,70.0,45.0,70.0,45.0,0.0,0.0
03-03-2020,131.0,61.0,131.0,61.0,0.0,0.0
04-03-2020,171.0,40.0,171.0,40.0,0.0,0.0
05-03-2020,251.0,80.0,251.0,80.0,0.0,0.0
06-03-2020,332.0,81.0,332.0,81.0,0.0,0.0
07-03-2020,411.0,79.0,411.0,79.0,0.0,0.0
08-03-2020,495.0,84.0,495.0,84.0,0.0,0.0
09-03-2020,670.0,175.0,670.0,175.0,0.0,0.0
10-03-2020,976.0,306.0,976.0,306.0,0.0,0.0
11-03-2020,1556.0,580.0,1556.0,580.0,0.0,0.0
12-03-2020,2494.0,938.0,2494.0,938.0,0.0,0.0
13-03-2020,4045.0,1551.0,4045.0,1551.0,0.0,0.0
14-03-2020,5298.0,1253.0,5298.0,1253.0,0.0,0.0
15-03-2020,6249.0,951.0,6249.0,951.0,0.0,0.0
16-03-2020,7932.0,1683.0,7932.0,1683.0,0.0,0.0
17-03-2020,10236.0,2304.0,10236.0,2304.0,0.0,0.0
18-03-2020,12701.0,2465.0,12701.0,2465.0,0.0,0.0
19-03-2020,15199.0,2498.0,15199.0,2498.0,0.0,0.0
20-03-2020,18414.0,3215.0,18414.0,3215.0,0.0,0.0
21-03-2020,20930.0,2516.0,20930.0,2516.0,0.0,0.0
22-03-2020,23039.0,2109.0,23039.0,2109.0,0.0,0.0
23-03-2020,27220.0,4181.0,27220.0,4181.0,0.0,0.0
24-03-2020,32247.0,5027.0,32247.0,5027.0,0.0,0.0
25-03-2020,37566.0,5319.0,37566.0,5319.0,0.0,0.0
26-03-2020,44260.0,6694.0,44260.0,6694.0,0.0,0.0
27-03-2020,52173.0,7913.0,52173.0,7913.0,0.0,0.0
28-03-2020,59066.0,6893.0,59066.0,6893.0,0.0,0.0
29-03-2020,64098.0,5032.0,64098.0,5032.0,0.0,0.0
30-03-2020,72084.0,7986.0,72084.0,7986.0,0.0,0.0
31-03-2020,80046.0,7962.0,80046.0,7962.0,0.0,0.0
01-04-2020,88696.0,8650.0,88696.0,8650.0,0.0,0.0
02-04-2020,97995.0,9299.0,97995.0,9299.0,0.0,0.0
03-04-2020,107474.0,9479.0,107474.0,9479.0,0.0,0.0
04-04-2020,116632.0,9158.0,116632.0,9158.0,0.0,0.0
05-04-2020,123348.0,6716.0,123348.0,6716.0,0.0,0.0
06-04-2020,132717.0,9369.0,132717.0,9369.0,0.0,0.0
07-04-2020,143340.0,10623.0,143340.0,10623.0,0.0,0.0
08-04-2020,155031.0,11691.0,155031.0,11691.0,0.0,0.0
